Grey Peacock-Pheasant,Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/b/ba/Grey_Peacock-Pheasant.jpg
Indian Peafowl,Pavo cristatus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/8/83/Indian_Peafowl.jpg
Green Peafowl,Pavo muticus,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Fulvous Whistling Duck,Dendrocygna bicolor,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/8/8a/Dendrocygna_bicolor.jpg
Lesser Whistling Duck,Dendrocygna javanica,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Taiga Bean Goose,Anser fabalis,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Pink-footed Goose,Anser brachyrhynchus,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/f/fe/Anser_brachyrhynchus.jpg
Greylag Goose,Anser anser,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/d/d8/Anser_anser.jpg
Greater White-fronted Goose,Anser albifrons,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Lesser White-fronted Goose,Anser erythropus,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/9/97/Anser_erythropus.jpg
Bar-headed Goose,Anser indicus,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/2/23/Anser_indicus.jpg
Snow Goose,Chen caerulescens,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Red-breasted Goose,Branta ruficollis,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/8/8f/Branta_ruficollis.jpg
Mute Swan,Cygnus olor,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/4/4f/Cygnus_olor.jpg
Tundra Swan,Cygnus columbianus,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/4/49/Tundra_Swan.jpg
Whooper Swan,Cygnus cygnus,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/2/28/Cygnus_cygnus.jpg
Knob-billed Duck,Sarkidiornis melanotos,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Common Shelduck,Tadorna tadorna,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/1/10/Common_Shelduck.jpg
Ruddy Shelduck,Tadorna ferruginea,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/6/6b/Tadorna_ferruginea.jpg
White-winged Duck,Asarcornis scutulata,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Mandarin Duck,Aix galericulata,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/1/13/Aix_galericulata.jpg
Cotton Pygmy Goose,Nettapus coromandelianus,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/f/fc/Nettapus_coromandelianus.jpg
Gadwall,Anas strepera,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/e/ef/Anas_strepera.jpg
Falcated Duck,Anas falcata,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Eurasian Wigeon,Anas penelope,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/9/9c/Anas_penelope.jpg
Mallard,Anas platyrhynchos,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/b/b1/Anas_platyrhynchos.jpg
Indian Spot-billed Duck,Anas poecilorhyncha,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/6/69/Anas_poecilorhyncha.jpg
Eastern Spot-billed Duck,Anas zonorhyncha,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Northern Shoveler,Anas clypeata,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/2/26/Anas_clypeata.jpg
Sunda Teal,Anas gibberifrons,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Andaman Teal,Anas albogularis,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Northern Pintail,Anas acuta,ANSERIFORMES,Anatidae,http://upload.wikimedia.org/wikipedia/commons/4/45/Anas_acuta.jpg
Garganey,Anas querquedula,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
Baikal Teal,Anas formosa,ANSERIFORMES,Anatidae,/img/image_not_available.jpg
